#bitsize(pq) p q pq mean
12 37 59 2183 0.008533802989404649
12 37 61 2257 0.007911082997452468
12 37 67 2479 0.008042295987252146
12 37 71 2627 0.012642577989026904
12 37 73 2701 0.011630313005298376
12 37 79 2923 0.0328421929734759
12 37 83 3071 0.011631097993813455
12 37 89 3293 0.011758953973185271
12 37 97 3589 0.012254911009222269
12 37 101 3737 0.0076875819941051304
12 37 103 3811 0.011855866992846131
12 37 107 3959 0.007933463959489018
12 37 109 4033 0.008092741947621107
12 41 53 2173 0.033144987013656646
12 41 59 2419 0.020019420015159994
12 41 61 2501 0.013763989962171763
12 41 67 2747 0.008614499995019287
12 41 71 2911 0.007704960007686168
12 41 73 2993 0.016804622020572424
12 41 79 3239 0.008234095002990216
12 41 83 3403 0.027576474007219076
12 41 89 3649 0.012992569943889976
12 41 97 3977 0.00790836603846401
12 43 53 2279 0.008267452998552471
12 43 59 2537 0.008330816985107958
12 43 61 2623 0.02968684898223728
12 43 67 2881 0.00784395297523588
12 43 71 3053 0.009309882996603847
12 43 73 3139 0.008898761996533722
12 43 79 3397 0.028234130993951112
12 43 83 3569 0.012605388998053968
12 43 89 3827 0.03492616902804002
12 47 47 2209 0.012359644984826446
12 47 53 2491 0.012052132980898023
12 47 59 2773 0.011995775043033063
12 47 61 2867 0.034938903991132975
12 47 67 3149 0.009929062973242253
12 47 71 3337 0.008230655046645552
12 47 73 3431 0.008342946006450802
12 47 79 3713 0.008648426970466971
12 47 83 3901 0.008800388022791594
12 53 53 2809 0.01227899600053206
12 53 59 3127 0.007956681016366929
12 53 61 3233 0.009315121977124363
12 53 67 3551 0.008048364019487053
12 53 71 3763 0.011727554956451058
12 53 73 3869 0.008977902994956821
12 59 59 3481 0.012719954014755785
12 59 61 3599 0.011846357956528664
12 59 67 3953 0.03641120600514114
12 61 61 3721 0.008450606022961438
12 61 67 4087 0.007940358016639948
13 37 113 4181 0.008937183010857552
13 37 127 4699 0.008837154018692672
13 41 101 4141 0.008620576991233975
