#bitsize(pq) p q pq median
12 37 59 2183 0.0026498664992686827
12 37 61 2257 0.002622173498821212
12 37 67 2479 0.0024763785004324745
12 37 71 2627 0.0026403345000289846
12 37 73 2701 0.0026023214995802846
12 37 79 2923 0.0026986569973814767
12 37 83 3071 0.002636655503010843
12 37 89 3293 0.002805216998240212
12 37 97 3589 0.002433787001791643
12 37 101 3737 0.0026213124983769376
12 37 103 3811 0.00265798400141648
12 37 107 3959 0.002599506995466072
12 37 109 4033 0.002693383998121135
12 41 53 2173 0.0025584559989511035
12 41 59 2419 0.0025636534992372617
12 41 61 2501 0.0027256699977442622
12 41 67 2747 0.0026493860023037996
12 41 71 2911 0.0027436050040705595
12 41 73 2993 0.0025825814991549123
12 41 79 3239 0.002660489499248797
12 41 83 3403 0.002855819504475221
12 41 89 3649 0.0027311400008329656
12 41 97 3977 0.00263757450011326
12 43 53 2279 0.002122408004652243
12 43 59 2537 0.002844785496563418
12 43 61 2623 0.0025360009967698716
12 43 67 2881 0.002731361000769539
12 43 71 3053 0.002660196001670556
12 43 73 3139 0.002759848503046669
12 43 79 3397 0.0026131025042559486
12 43 83 3569 0.0026829529997485224
12 43 89 3827 0.0026795550002134405
12 47 47 2209 0.0026752769990707748
12 47 53 2491 0.0024196665035560727
12 47 59 2773 0.0027116259989270475
12 47 61 2867 0.002596294001705246
12 47 67 3149 0.0027444919978734106
12 47 71 3337 0.002814576499076793
12 47 73 3431 0.002106679999997141
12 47 79 3713 0.002422796002065297
12 47 83 3901 0.00254493300235481
12 53 53 2809 0.0027532845015230123
12 53 59 3127 0.002423973499389831
12 53 61 3233 0.0026419904970680363
12 53 67 3551 0.0024621749980724417
12 53 71 3763 0.002494631498848321
12 53 73 3869 0.0025847655051620677
12 59 59 3481 0.0026206460024695843
12 59 61 3599 0.0025028290001500864
12 59 67 3953 0.0025281999951403122
12 61 61 3721 0.002545222498156363
12 61 67 4087 0.0023358334983640816
13 37 113 4181 0.002987154501170153
13 37 127 4699 0.0026703980038291775
13 41 101 4141 0.002873319997888757
13 41 103 4223 0.002991163495607907
13 41 107 4387 0.002770651495666243
13 41 109 4469 0.0027758290016208775
13 41 113 4633 0.002921469997090753
13 41 127 5207 0.0028545884997583926
13 43 97 4171 0.0027649214971461333
13 43 101 4343 0.0028587570013769437
13 43 103 4429 0.002703563000977738
13 43 107 4601 0.0029718169971602038
13 43 109 4687 0.0027943819950451143
13 43 113 4859 0.00275966250046622
13 43 127 5461 0.002773051499389112
13 47 89 4183 0.002803950002999045
13 47 97 4559 0.0026053129986394197
13 47 101 4747 0.00278922800134751
13 47 103 4841 0.003077540997765027
13 47 107 5029 0.002889046500058612
13 47 109 5123 0.002970453497255221
13 47 113 5311 0.002872823999496177
13 47 127 5969 0.0028432440012693405
13 53 79 4187 0.0028726029995596036
13 53 83 4399 0.0028024509992974345
13 53 89 4717 0.0028974505039514042
13 53 97 5141 0.002962919003039133
13 53 101 5353 0.0020648145000450313
13 53 103 5459 0.0028358734998619184
13 53 107 5671 0.0026689405021897983
13 53 109 5777 0.002574481000920059
13 53 113 5989 0.002894668996304972
