#bitsize(pq) p q pq mean
11 37 47 1739 0.001457135588862002
11 37 53 1961 0.0014300622045993806
11 41 41 1681 0.0014457709854468702
11 41 43 1763 0.002720715606119484
11 41 47 1927 0.0022768271970562636
11 43 43 1849 0.002581701206509024
11 43 47 2021 0.0026303267804905772
12 37 59 2183 0.0025745145860128103
12 37 61 2257 0.003022793005220592
12 37 67 2479 0.002815963397733867
12 37 71 2627 0.0025210432009771465
12 37 73 2701 0.0029779294040054084
12 37 79 2923 0.0027481542085297404
12 37 83 3071 0.003448270994704217
12 37 89 3293 0.003693143208511174
12 37 97 3589 0.002611824602354318
12 37 101 3737 0.0023585948161780833
12 37 103 3811 0.0024448497919365765
12 37 107 3959 0.0026774596190080047
12 37 109 4033 0.0033265784033574162
12 41 53 2173 0.0031497507938183845
12 41 59 2419 0.0026050294167362154
12 41 61 2501 0.002258329791948199
12 41 67 2747 0.003659445804078132
12 41 71 2911 0.002210205583833158
12 41 73 2993 0.0026635252055712045
12 41 79 3239 0.003904715005774051
12 41 83 3403 0.0025343259912915528
12 41 89 3649 0.0027969180140644313
12 41 97 3977 0.002956976601853967
12 43 53 2279 0.00273622521199286
12 43 59 2537 0.0028537816135212777
12 43 61 2623 0.002979656809475273
12 43 67 2881 0.002748654398601502
12 43 71 3053 0.003223737596999854
12 43 73 3139 0.003146882797591388
12 43 79 3397 0.0027104857959784566
12 43 83 3569 0.0023171848035417495
12 43 89 3827 0.0023873292026109993
12 47 47 2209 0.00382754378952086
12 47 53 2491 0.0029304015915840864
12 47 59 2773 0.002818302798550576
12 47 61 2867 0.004512032610364258
12 47 67 3149 0.0032964280107989907
12 47 71 3337 0.0034901368198916316
12 47 73 3431 0.0024252045899629594
12 47 79 3713 0.002504825801588595
12 47 83 3901 0.002265189215540886
12 53 53 2809 0.003716288600116968
12 53 59 3127 0.0026808579917997123
12 53 61 3233 0.0036952681839466095
12 53 67 3551 0.00233164019882679
12 53 71 3763 0.002768264012411237
12 53 73 3869 0.001719546620734036
12 59 59 3481 0.00196342138806358
12 59 61 3599 0.002726657805033028
12 59 67 3953 0.002723018010146916
12 61 61 3721 0.0023540590074844657
12 61 67 4087 0.0027427801862359045
13 37 113 4181 0.003708391182590276
13 37 127 4699 0.0025343309971503913
13 41 101 4141 0.003058056195732206
13 41 103 4223 0.0031880744150839745
13 41 107 4387 0.0035908726043999196
13 41 109 4469 0.003048541396856308
13 41 113 4633 0.0024951520026661456
13 41 127 5207 0.0031131690018810334
13 43 97 4171 0.0037162487977184357
13 43 101 4343 0.002471777389291674
13 43 103 4429 0.0032325955922715365
13 43 107 4601 0.002542677603196353
13 43 109 4687 0.0024134682025760412
13 43 113 4859 0.003044019814115018
13 43 127 5461 0.0027912612189538778
13 47 89 4183 0.0029070924036204817
13 47 97 4559 0.0028510225820355117
13 47 101 4747 0.0028999346075579526
13 47 103 4841 0.003351479198317975
13 47 107 5029 0.0028874676092527805
13 47 109 5123 0.0024375520064495505
13 47 113 5311 0.003090047009754926
13 47 127 5969 0.002714719402138144
13 53 79 4187 0.001524575217626989
13 53 83 4399 0.002409706183243543
13 53 89 4717 0.0037495947908610106
13 53 97 5141 0.004504969401750714
13 53 101 5353 0.0025988690089434386
13 53 103 5459 0.002955290023237467
13 53 107 5671 0.0026953442022204397
13 53 109 5777 0.004356672207359224
13 53 113 5989 0.003415763401426375
13 53 127 6731 0.0025224447948858143
13 59 71 4189 0.0028040211880579593
13 59 73 4307 0.0031722525833174585
13 59 79 4661 0.0043652878026478
13 59 83 4897 0.0021113181835971774
13 59 89 5251 0.002570172608830035
13 59 97 5723 0.002933104184921831
13 59 101 5959 0.0035879849921911953
13 59 103 6077 0.0029443990089930592
13 59 107 6313 0.0031894835992716253
13 59 109 6431 0.0021855536033399403
13 59 113 6667 0.004091927409172058
13 59 127 7493 0.002708408993203193
13 61 71 4331 0.002623576787300408
13 61 73 4453 0.0026933898101560772
13 61 79 4819 0.0021887822076678276
13 61 83 5063 0.002272928203456104
13 61 89 5429 0.0033576015965081753
13 61 97 5917 0.002544916805345565
13 61 101 6161 0.0031333857914432883
13 61 103 6283 0.002522000193130225
13 61 107 6527 0.004083842807449401
13 61 109 6649 0.0032252575969323517
13 61 113 6893 0.00237694300012663
13 61 127 7747 0.003116946807131171
13 67 67 4489 0.002480085601564497
13 67 71 4757 0.002210099622607231
13 67 73 4891 0.004129213804844767
