#bitsize(pq) p q pq std
13 73 83 6059 0.00040806919269463
13 73 89 6497 0.00034232128186080757
13 73 97 7081 0.00029521303015362575
13 73 101 7373 0.0007367988893748566
13 73 103 7519 0.0004978201278343295
13 73 107 7811 0.00017947498899509938
13 73 109 7957 0.0004871928086412549
13 79 79 6241 0.0006802513703493428
13 79 83 6557 0.0006118791253131031
13 79 89 7031 0.00142259939569265
13 79 97 7663 0.00040224284993571456
13 79 101 7979 0.0010156930282332307
13 79 103 8137 0.0009592636623009293
13 83 83 6889 0.00016110002050048598
13 83 89 7387 0.0002297922038921747
13 83 97 8051 0.00042115953530872877
13 89 89 7921 0.0004961205456651938
14 67 127 8509 0.0012699013422987388
14 67 131 8777 0.0008387743049548048
14 67 137 9179 0.001708685906407332
14 67 139 9313 0.000421578541525108
14 67 151 10117 0.0008332297110873183
14 67 157 10519 0.0016305364315529797
14 67 181 12127 0.0014053212515178117
14 67 191 12797 0.0011248347550924206
14 67 193 12931 0.0017082660715309016
14 67 197 13199 0.0006181520010423727
14 67 223 14941 0.00039008039679713205
14 67 227 15209 0.001683284588322309
14 67 229 15343 0.0003811434598194472
14 67 233 15611 0.0005538479215279049
14 67 239 16013 0.0004973329633130061
14 67 241 16147 0.0019086298154646275
14 71 131 9301 0.0004312637719690274
14 71 137 9727 0.0014756407942645511
14 71 149 10579 0.00020043482655307586
14 71 151 10721 0.0003443004999569575
14 71 157 11147 0.0004485064718592141
14 71 167 11857 0.0009102974294136387
14 71 179 12709 0.00027190292564968876
14 71 181 12851 0.0006061179168647618
14 71 199 14129 0.0002503732551653484
14 71 227 16117 0.0005789973373649827
14 73 113 8249 0.0003203556778088835
14 73 127 9271 0.00022807087045109467
14 73 131 9563 0.00033058528503351957
14 73 139 10147 0.0005985266682528171
14 73 151 11023 0.00040892139842251343
14 73 157 11461 0.001181126807261644
14 73 163 11899 0.0009332020166900523
14 73 167 12191 0.0008073205966777504
14 73 181 13213 0.000547615846994557
14 73 191 13943 0.0004124928446970151
14 73 193 14089 0.0006317048601572331
14 73 197 14381 0.0004973187060874154
14 73 199 14527 0.0006062425543304899
14 73 211 15403 0.0003869179425571287
14 73 223 16279 0.0004495593337761529
14 79 107 8453 0.0004014877041144993
14 79 109 8611 0.0002065335367759219
14 79 113 8927 0.00024168851194500662
14 79 127 10033 0.0009625310634910915
14 79 137 10823 0.0004020989462767882
14 79 139 10981 0.00029660690064657646
14 79 149 11771 0.0005074473765912088
14 79 157 12403 0.0015378726536189717
14 79 163 12877 0.0015263580122968346
14 79 167 13193 0.0006658079459187605
14 79 191 15089 0.0009830126937869785
14 79 197 15563 0.0004520936671127488
14 79 199 15721 0.00032639791652394314
14 83 103 8549 0.0006642533771264078
14 83 107 8881 0.0005321847113659626
14 83 109 9047 9.083918194056831e-05
14 83 113 9379 0.00023274429219166096
14 83 127 10541 0.00038962648050517744
14 83 149 12367 0.0003986257958203112
14 83 157 13031 0.0008822389094338116
14 83 173 14359 0.0006748590262007754
14 83 179 14857 0.0006073767567849497
14 83 181 15023 0.0002735094599161831
14 83 193 16019 0.0003527066844072642
14 89 101 8989 0.0003484622951565881
14 89 103 9167 0.000718902977084271
14 89 107 9523 0.0008109667965098081
14 89 131 11659 0.000560195001637258
14 89 149 13261 0.0005531206300207682
14 89 151 13439 0.00033574016009019566
14 89 157 13973 0.00041835852350819683
14 89 163 14507 0.0005507373077100267
14 97 97 9409 0.0004425809894055847
14 97 103 9991 0.0007230209333548136
14 97 107 10379 0.0004923220817367856
14 97 127 12319 0.000603481022877259
14 97 137 13289 0.0013417756362779632
14 97 139 13483 0.0008856374806725366
14 97 149 14453 0.0010457204898874622
14 97 151 14647 0.0008358210424469001
14 97 157 15229 0.0004919412218996775
14 97 163 15811 0.0017164418231042577
14 101 107 10807 0.0015280585711636221
14 101 127 12827 0.0010906319921955743
14 101 137 13837 0.00046454658572129865
14 101 139 14039 0.0018124229975884545
14 101 149 15049 0.0007089947429872708
14 103 107 11021 0.0006999696630950868
14 103 113 11639 0.0004919717041439892
14 103 151 15553 0.0007518980154295277
14 103 157 16171 0.0009112811765611494
14 107 107 11449 0.00036640075773022683
14 107 127 13589 0.0016728024804350274
14 107 137 14659 0.00032950102765937815
14 109 109 11881 0.0013431502703550625
14 109 113 12317 0.0005279282587620708
14 109 149 16241 0.0012247878309571297
14 113 127 14351 0.0001796622990499788
14 113 139 15707 0.0002861895092786761
15 67 251 16817 0.0016099204982603964
15 73 229 16717 0.0006360256965237702
15 79 227 17933 0.0003439492080388422
15 79 229 18091 0.0007760681640849236
15 79 239 18881 0.0012793353641771031
15 79 241 19039 0.0004489714894921586
15 83 199 16517 0.0005230937289043491
15 83 211 17513 0.0014388124948776428
15 83 233 19339 0.0014044048132410957
15 89 191 16999 0.002454585675734288
15 89 193 17177 0.0004284979352506245
15 89 211 18779 0.0014278315652403702
15 89 233 20737 0.0012370889571054467
15 97 179 17363 0.0005743273083845778
15 97 181 17557 0.0010112484625280972
15 97 191 18527 0.0004013775674454519
15 97 197 19109 0.0008833507296626744
15 97 251 24347 0.0005570885816987579
15 101 173 17473 0.00039810119318103447
15 101 191 19291 0.0005067387569770918
15 101 193 19493 0.0004940154180094747
15 101 199 20099 0.0017426561066123682
15 101 233 23533 0.0007696653961345632
15 101 239 24139 0.0029528215434840017
15 103 167 17201 0.0014460977997853973
15 103 181 18643 0.0009348215008851922
15 103 197 20291 0.0005214039408425485
15 103 239 24617 0.0010070306513202919
15 107 223 23861 0.0006129980998449762
15 107 227 24289 0.001661953238559065
15 107 239 25573 0.0007922783804931878
15 109 179 19511 0.001540549946977458
15 109 227 24743 0.0005020166178970625
15 109 233 25397 0.0009194676647730958
15 113 149 16837 0.0016090237964995918
15 113 181 20453 0.002822801677766616
15 113 197 22261 0.0005349610133264535
15 113 229 25877 0.0005884754893284023
15 113 233 26329 0.0011343817808282244
15 113 241 27233 0.0012336879582011105
15 113 251 28363 0.00038533581556398554
15 127 149 18923 0.0015794727038870528
15 127 163 20701 0.0007863917450312016
15 127 173 21971 0.00036042601360184205
15 127 179 22733 0.0006560325302969168
