#bitsize(pq) p q pq min
13 83 83 6889 0.0013405560021055862
13 83 89 7387 0.0013312890005181544
13 83 97 8051 0.0012941059976583347
13 89 89 7921 0.0016715980018489063
14 67 127 8509 0.0015050770016387105
14 67 131 8777 0.0013367459978326224
14 67 137 9179 0.001402185000188183
14 67 139 9313 0.0014378220002981834
14 67 151 10117 0.0015398179966723546
14 67 157 10519 0.0013230010008555837
14 67 181 12127 0.001399059998220764
14 67 191 12797 0.0013392809996730648
14 67 193 12931 0.0014025480049895123
14 67 197 13199 0.001573573004861828
14 67 223 14941 0.0014048400043975562
14 67 227 15209 0.0018431360003887676
14 67 229 15343 0.001351672995951958
14 67 233 15611 0.0019052489951718599
14 67 239 16013 0.0013927380059612915
14 67 241 16147 0.0017802349975681864
14 71 131 9301 0.0013928610133007169
14 71 137 9727 0.001582657998369541
14 71 149 10579 0.0014841040247119963
14 71 151 10721 0.0014036540014785714
14 71 157 11147 0.0014687520015286282
14 71 167 11857 0.0016930989804677665
14 71 179 12709 0.0014521110060741194
14 71 181 12851 0.0016806290004751645
14 71 199 14129 0.001453816999855917
14 71 227 16117 0.0014388909985427745
14 73 113 8249 0.0013929039996583015
14 73 127 9271 0.0014090839977143332
14 73 131 9563 0.0013938289994257502
14 73 139 10147 0.0014706939982715994
14 73 151 11023 0.0017957540039788
14 73 157 11461 0.0014932010017219
14 73 163 11899 0.0016560709991608746
14 73 167 12191 0.0014104599977144971
14 73 181 13213 0.0015231350043904968
14 73 191 13943 0.0013773110040347092
14 73 193 14089 0.001614737993804738
14 73 197 14381 0.001432541997928638
14 73 199 14527 0.0013762000016868114
14 73 211 15403 0.0015725260018371046
14 73 223 16279 0.0013771860030828975
14 79 107 8453 0.0013855729994247667
14 79 109 8611 0.0014311790000647306
14 79 113 8927 0.0013833479970344342
14 79 127 10033 0.0013706069948966615
14 79 137 10823 0.001392193000356201
14 79 139 10981 0.0013822230030200444
14 79 149 11771 0.0014872899992042221
14 79 157 12403 0.0016435340003226884
14 79 163 12877 0.0013749889985774644
14 79 167 13193 0.0015387949970318004
14 79 191 15089 0.00144680000084918
14 79 197 15563 0.0013782530004391447
14 79 199 15721 0.0014481040052487515
14 83 103 8549 0.0014302650015451945
14 83 107 8881 0.0013763040042249486
14 83 109 9047 0.0015697990311309695
14 83 113 9379 0.0013592989998869598
14 83 127 10541 0.0013855629949830472
14 83 149 12367 0.0015650590066798031
14 83 157 13031 0.0014614999963669106
14 83 173 14359 0.0014514360009343363
14 83 179 14857 0.0014396199985640123
14 83 181 15023 0.0013669390027644113
14 83 193 16019 0.0014291659972514026
14 89 101 8989 0.0013941900033387356
14 89 103 9167 0.0013986210033181123
14 89 107 9523 0.0017308360038441606
14 89 131 11659 0.0013883520005038008
14 89 149 13261 0.0018396640007267706
14 89 151 13439 0.0015009339986136183
14 89 157 13973 0.0014207330023054965
14 89 163 14507 0.0013773789978586137
14 97 97 9409 0.0013440930051729083
14 97 103 9991 0.0013960619980935007
14 97 107 10379 0.0013703049989999272
14 97 127 12319 0.0013812719989800826
14 97 137 13289 0.001384846997098066
14 97 139 13483 0.0014643049944425002
14 97 149 14453 0.0015177320019574836
14 97 151 14647 0.0014119539991952479
14 97 157 15229 0.0013774409962934442
14 97 163 15811 0.001484280001022853
14 101 107 10807 0.0013905689993407577
14 101 127 12827 0.0016471490016556345
14 101 137 13837 0.0013944680031272583
14 101 139 14039 0.0014491219990304671
14 101 149 15049 0.0014273199994931929
14 103 107 11021 0.001372400001855567
14 103 113 11639 0.0013714570013689809
14 103 151 15553 0.0013561099985963665
14 103 157 16171 0.0015652710062568076
14 107 107 11449 0.001416860002791509
14 107 127 13589 0.0015968619991326705
14 107 137 14659 0.0016130079966387711
14 109 109 11881 0.0013498960033757612
14 109 113 12317 0.001378541004669387
14 109 149 16241 0.0014336709937197156
14 113 127 14351 0.001416138002241496
14 113 139 15707 0.0014283830023487099
15 67 251 16817 0.001542773999972269
15 73 229 16717 0.0014372910009115003
15 79 227 17933 0.00147326599835651
15 79 229 18091 0.0014615079999202862
15 79 239 18881 0.0015213869992294349
15 79 241 19039 0.0015112309993128292
15 83 199 16517 0.0017345800006296486
15 83 211 17513 0.0015045159962028265
15 83 233 19339 0.0014434300028369762
15 89 191 16999 0.0014672070028609596
15 89 193 17177 0.0015311509996536188
15 89 211 18779 0.0014718649981659837
15 89 233 20737 0.0016160900049726479
15 97 179 17363 0.001500717997259926
15 97 181 17557 0.0014526370068779215
15 97 191 18527 0.0014476900032605045
15 97 197 19109 0.0014873460022499785
15 97 251 24347 0.0015343909981311299
15 101 173 17473 0.0014717489975737408
15 101 191 19291 0.0014367499970830977
15 101 193 19493 0.0016268690014840104
15 101 199 20099 0.0015205509989755228
15 101 233 23533 0.0017586379981366917
15 101 239 24139 0.0014124150038696826
15 103 167 17201 0.0015825130030862056
15 103 181 18643 0.0016181239989236929
15 103 197 20291 0.0015243240050040185
15 103 239 24617 0.0015490600053453818
15 107 223 23861 0.0015886120017967187
15 107 227 24289 0.0015368009990197606
15 107 239 25573 0.0015701470038038678
15 109 179 19511 0.0014474460040219128
15 109 227 24743 0.001440353000361938
15 109 233 25397 0.0015993389970390126
15 113 149 16837 0.0014733159987372346
15 113 181 20453 0.0013693959917873144
15 113 197 22261 0.0014179849968058988
15 113 229 25877 0.0019599759980337694
15 113 233 26329 0.0015443439988302998
15 113 241 27233 0.0014568859987775795
15 113 251 28363 0.001866416998382192
15 127 149 18923 0.0015464190000784583
15 127 163 20701 0.0015273829994839616
15 127 173 21971 0.001688689000729937
15 127 179 22733 0.0015516580024268478
15 127 191 24257 0.0015824539950699545
15 127 193 24511 0.0016684229995007627
15 127 211 26797 0.0016147440037457272
15 127 223 28321 0.0014429239963646978
15 127 233 29591 0.0015388749889098108
15 127 241 30607 0.0015003209991846234
15 131 149 19519 0.0014457710203714669
15 131 157 20567 0.001511317997938022
15 131 173 22663 0.0015531749959336594
15 131 181 23711 0.0015302219981094822
15 131 191 25021 0.001580882992129773
15 131 193 25283 0.0015348590022767894
15 131 197 25807 0.001469449998694472
15 131 199 26069 0.0015604939981130883
15 131 211 27641 0.0014621339942095801
15 131 227 29737 0.0014412610034924
15 137 139 19043 0.0014627030031988397
15 137 151 20687 0.0015804880022187717
15 137 157 21509 0.001696786996035371
15 137 163 22331 0.0014738730023964308
15 137 229 31373 0.0015934049952193163
15 137 233 31921 0.0015186840028036386
15 139 139 19321 0.0014949879987398162
15 139 157 21823 0.001495074000558816
15 139 163 22657 0.0014321779963211156
15 139 173 24047 0.0014697070000693202
15 139 179 24881 0.001477757003158331
15 139 181 25159 0.0014828220009803772
15 139 199 27661 0.00151916200411506
15 139 211 29329 0.0014624430041294545
15 139 227 31553 0.0014477590011665598
15 139 229 31831 0.001465395005652681
15 139 233 32387 0.0014689349991385825
15 149 157 23393 0.0014901729955454357
15 149 163 24287 0.0015312310060835443
15 149 173 25777 0.0015298279977287166
15 149 179 26671 0.0016731279974919744
15 149 181 26969 0.0014148829941404983
15 149 197 29353 0.001601977004611399
