#n p q pq seed time
14 73 151 11023 37 0.0016141810010594781
14 73 157 11461 10 0.0015634609990229364
14 73 163 11899 96 0.0015904809988569468
14 73 167 12191 39 0.0017657429998507723
14 73 181 13213 12 0.0016085649986052886
14 73 191 13943 37 0.0015409120023832656
14 73 193 14089 40 0.0015176679989963304
14 73 197 14381 19 0.0016617580004094634
14 73 199 14527 59 0.0016570230000070296
14 73 211 15403 57 0.001625054999749409
14 73 223 16279 91 0.0016068900004029274
14 79 107 8453 67 0.0016297170004690997
14 79 109 8611 66 0.0016289000013784971
14 79 113 8927 44 0.00152904300193768
14 79 127 10033 91 0.001650447000429267
14 79 137 10823 68 0.0016304899982060306
14 79 139 10981 22 0.001556119997985661
14 79 149 11771 62 0.0017851199991127942
14 79 157 12403 75 0.001558138999826042
14 79 163 12877 28 0.0015314550000766758
14 79 167 13193 51 0.0016092430014396086
14 79 191 15089 62 0.0015798479980730917
14 79 197 15563 37 0.0015231619981932454
14 79 199 15721 20 0.0015512249992752913
14 83 103 8549 63 0.0016276989990728907
14 83 107 8881 56 0.0015429939994646702
14 83 109 9047 26 0.0016018550013541244
14 83 113 9379 99 0.001486835000832798
14 83 127 10541 23 0.0015671140026825015
14 83 149 12367 99 0.0014884840020386036
14 83 157 13031 61 0.0015426680001837667
14 83 173 14359 36 0.0014845570003672037
14 83 179 14857 89 0.0015858349979680497
14 83 181 15023 89 0.0014750950031157117
14 83 193 16019 32 0.0014679550004075281
14 89 101 8989 55 0.0015745460004836787
14 89 103 9167 88 0.001497023997217184
14 89 107 9523 28 0.0014931619989511091
14 89 131 11659 34 0.0015176819979387801
14 89 149 13261 99 0.0015769989986438304
14 89 151 13439 66 0.0015615300035278779
14 89 157 13973 10 0.0015291919989977032
14 89 163 14507 51 0.0016511689973413013
14 97 97 9409 86 0.0015385859987873118
14 97 103 9991 53 0.0015756200009491295
14 97 107 10379 62 0.0016125019974424504
14 97 127 12319 69 0.001533998001832515
14 97 137 13289 22 0.0015835820013307966
14 97 139 13483 34 0.001585704001627164
14 97 149 14453 99 0.0015733969994471408
14 97 151 14647 50 0.0015360159995907452
14 97 157 15229 25 0.0016377309984818567
14 97 163 15811 85 0.0016520669996680226
14 101 107 10807 97 0.001471047999075381
14 101 127 12827 66 0.0014290629987954162
14 101 137 13837 17 0.0014885719974699896
14 101 139 14039 98 0.001540909997856943
14 101 149 15049 12 0.0016254910005955026
14 103 107 11021 80 0.001558094001666177
14 103 113 11639 9 0.0015469450008822605
14 103 151 15553 62 0.001668870998400962
14 103 157 16171 29 0.0015312270006688777
14 107 107 11449 55 0.0015542030014330521
14 107 127 13589 69 0.0015826390008442104
14 107 137 14659 29 0.001639660000364529
14 109 109 11881 24 0.0016836520007927902
14 109 113 12317 99 0.0015500079971388914
14 109 149 16241 13 0.0016254359979939181
14 113 127 14351 57 0.0016019140020944178
14 113 139 15707 73 0.0016116279984998982
15 67 251 16817 80 0.0018216749995190185
15 73 229 16717 26 0.0016134069992403965
15 79 227 17933 62 0.0017335410011583008
15 79 229 18091 98 0.0016934390005189925
15 79 239 18881 7 0.001620602997718379
15 79 241 19039 32 0.0017417480012227315
15 83 199 16517 82 0.001634971999010304
15 83 211 17513 86 0.0017400719989382196
15 83 233 19339 17 0.0017744870019669179
15 89 191 16999 84 0.0015826359995116945
15 89 193 17177 34 0.0017115880000346806
15 89 211 18779 76 0.0016634810017421842
15 89 233 20737 33 0.0017766819983080495
