# bitsize(pq) p q pq trialdiv
17 199 463 92137 5.00679016113e-06
17 211 317 66887 5.00679016113e-06
17 211 337 71107 5.00679016113e-06
17 211 347 73217 5.00679016113e-06
17 211 461 97271 5.00679016113e-06
17 211 499 105289 5.00679016113e-06
17 223 353 78719 5.96046447754e-06
17 223 457 101911 5.96046447754e-06
17 223 479 106817 6.19888305664e-06
17 223 499 111277 5.00679016113e-06
17 227 313 71051 5.96046447754e-06
17 227 353 80131 5.96046447754e-06
17 227 359 81493 5.96046447754e-06
17 227 499 113273 5.00679016113e-06
17 229 313 71677 5.00679016113e-06
17 229 397 90913 5.00679016113e-06
17 229 457 104653 5.00679016113e-06
17 233 347 80851 5.00679016113e-06
17 233 397 92501 1.09672546387e-05
17 233 461 107413 1.19209289551e-05
17 239 347 82933 6.91413879395e-06
17 239 421 100619 5.96046447754e-06
17 239 467 111613 5.96046447754e-06
17 241 313 75433 5.96046447754e-06
17 241 337 81217 5.96046447754e-06
17 241 373 89893 5.00679016113e-06
17 241 383 92303 5.00679016113e-06
17 241 463 111583 5.96046447754e-06
17 251 311 78061 5.00679016113e-06
17 251 373 93623 5.00679016113e-06
17 251 401 100651 5.00679016113e-06
17 251 419 105169 5.00679016113e-06
17 251 467 117217 5.96046447754e-06
17 257 317 81469 5.96046447754e-06
17 257 347 89179 4.76837158203e-06
17 257 349 89693 5.96046447754e-06
17 257 359 92263 5.96046447754e-06
17 263 331 87053 5.96046447754e-06
17 263 421 110723 5.96046447754e-06
17 269 311 83659 5.00679016113e-06
17 269 349 93881 5.96046447754e-06
17 269 373 100337 6.19888305664e-06
17 269 463 124547 5.96046447754e-06
17 269 479 128851 6.19888305664e-06
17 269 487 131003 5.96046447754e-06
17 271 379 102709 6.19888305664e-06
17 271 397 107587 5.96046447754e-06
17 277 337 93349 5.00679016113e-06
17 277 409 113293 5.96046447754e-06
17 277 421 116617 5.96046447754e-06
17 281 439 123359 5.00679016113e-06
17 283 283 80089 5.00679016113e-06
17 283 439 124237 5.96046447754e-06
17 283 457 129331 6.91413879395e-06
17 293 293 85849 5.00679016113e-06
17 293 307 89951 5.96046447754e-06
17 293 317 92881 5.96046447754e-06
17 293 373 109289 5.96046447754e-06
17 293 397 116321 5.00679016113e-06
17 293 409 119837 5.96046447754e-06
17 307 317 97319 5.96046447754e-06
17 307 373 114511 5.96046447754e-06
17 307 421 129247 5.00679016113e-06
17 311 389 120979 5.00679016113e-06
17 311 419 130309 5.00679016113e-06
17 331 347 114857 5.96046447754e-06
17 347 367 127349 5.96046447754e-06
18 257 617 158569 5.96046447754e-06
18 257 647 166279 5.96046447754e-06
18 257 809 207913 5.00679016113e-06
18 263 499 131237 4.76837158203e-06
18 263 613 161219 5.96046447754e-06
18 263 619 162797 6.19888305664e-06
18 263 631 165953 5.00679016113e-06
18 269 821 220849 6.19888305664e-06
18 269 967 260123 5.00679016113e-06
18 271 601 162871 5.00679016113e-06
18 271 661 179131 5.00679016113e-06
18 271 829 224659 5.96046447754e-06
18 271 857 232247 5.00679016113e-06
18 271 859 232789 5.96046447754e-06
18 277 547 151519 5.96046447754e-06
18 277 599 165923 5.96046447754e-06
18 277 643 178111 5.96046447754e-06
18 277 719 199163 7.86781311035e-06
18 277 761 210797 5.96046447754e-06
18 277 787 217999 5.00679016113e-06
18 277 811 224647 5.96046447754e-06
18 277 829 229633 5.00679016113e-06
18 277 919 254563 5.96046447754e-06
18 281 523 146963 5.96046447754e-06
18 281 631 177311 6.19888305664e-06
18 281 727 204287 5.00679016113e-06
18 283 691 195553 5.96046447754e-06
18 283 739 209137 5.96046447754e-06
18 283 797 225551 5.96046447754e-06
18 283 827 234041 5.96046447754e-06
18 293 521 152653 5.96046447754e-06
18 293 523 153239 5.96046447754e-06
18 293 593 173749 5.96046447754e-06
18 293 877 256961 5.00679016113e-06
18 307 607 186349 5.96046447754e-06
18 307 653 200471 6.19888305664e-06
18 307 839 257573 5.00679016113e-06
18 307 853 261871 5.96046447754e-06
18 311 433 134663 5.00679016113e-06
18 311 439 136529 5.00679016113e-06
18 311 491 152701 5.96046447754e-06
18 311 757 235427 5.96046447754e-06
18 311 811 252221 5.00679016113e-06
18 313 659 206267 5.96046447754e-06
18 313 733 229429 5.96046447754e-06
18 317 433 137261 5.00679016113e-06
18 317 479 151843 5.96046447754e-06
18 317 547 173399 5.00679016113e-06
18 317 683 216511 5.00679016113e-06
18 317 727 230459 5.00679016113e-06
18 317 769 243773 7.15255737305e-06
18 317 811 257087 6.19888305664e-06
18 331 499 165169 5.00679016113e-06
18 331 619 204889 5.96046447754e-06
18 331 701 232031 6.19888305664e-06
18 337 419 141203 5.96046447754e-06
18 337 443 149291 5.96046447754e-06
18 337 599 201863 5.96046447754e-06
18 337 709 238933 5.00679016113e-06
18 337 733 247021 5.00679016113e-06
18 337 773 260501 5.00679016113e-06
18 347 419 145393 5.96046447754e-06
18 347 571 198137 5.96046447754e-06
18 347 683 237001 5.96046447754e-06
18 349 379 132271 5.96046447754e-06
18 359 617 221503 5.96046447754e-06
18 359 659 236581 5.96046447754e-06
18 367 643 235981 5.96046447754e-06
18 367 683 250661 5.96046447754e-06
18 373 389 145097 6.19888305664e-06
18 373 683 254759 5.96046447754e-06
18 379 389 147431 6.19888305664e-06
18 379 397 150463 5.96046447754e-06
18 379 439 166381 6.19888305664e-06
18 383 421 161243 5.96046447754e-06
18 383 457 175031 5.96046447754e-06
18 389 521 202669 5.96046447754e-06
18 397 571 226687 5.00679016113e-06
18 397 617 244949 5.96046447754e-06
18 401 467 187267 5.96046447754e-06
18 401 569 228169 5.96046447754e-06
18 409 523 213907 6.19888305664e-06
18 409 571 233539 5.96046447754e-06
18 419 461 193159 5.96046447754e-06
18 421 509 214289 5.96046447754e-06
18 421 523 220183 5.96046447754e-06
18 421 619 260599 5.96046447754e-06
18 431 463 199553 5.96046447754e-06
18 431 571 246101 6.19888305664e-06
18 433 463 200479 5.96046447754e-06
18 433 509 220397 5.96046447754e-06
18 439 479 210281 7.15255737305e-06
18 443 521 230803 5.96046447754e-06
18 449 487 218663 6.19888305664e-06
18 449 569 255481 5.96046447754e-06
18 461 487 224507 5.96046447754e-06
18 467 523 244241 6.19888305664e-06
18 467 541 252647 5.96046447754e-06
18 487 523 254701 6.19888305664e-06
18 499 523 260977 5.96046447754e-06
19 263 997 262211 5.96046447754e-06
19 277 977 270629 5.00679016113e-06
19 307 919 282133 5.00679016113e-06
19 313 859 268867 5.96046447754e-06
19 313 877 274501 5.96046447754e-06
19 317 941 298297 5.00679016113e-06
19 317 977 309709 5.96046447754e-06
19 317 997 316049 5.00679016113e-06
19 331 997 330007 5.96046447754e-06
19 337 947 319139 5.96046447754e-06
19 349 1019 355631 5.00679016113e-06
19 353 773 272869 5.00679016113e-06
19 353 857 302521 5.96046447754e-06
19 353 983 346999 5.96046447754e-06
19 373 821 306233 5.96046447754e-06
19 379 701 265679 5.96046447754e-06
19 383 929 355807 5.96046447754e-06
19 383 1019 390277 5.96046447754e-06
19 397 991 393427 5.96046447754e-06
19 401 673 269873 5.96046447754e-06
19 401 719 288319 5.96046447754e-06
19 401 853 342053 5.96046447754e-06
19 401 877 351677 5.96046447754e-06
19 401 881 353281 5.96046447754e-06
19 409 743 303887 5.96046447754e-06
19 409 857 350513 5.96046447754e-06
19 409 881 360329 5.96046447754e-06
19 419 647 271093 5.96046447754e-06
19 419 661 276959 5.96046447754e-06
19 419 673 281987 5.96046447754e-06
19 421 769 323749 5.96046447754e-06
19 421 797 335537 5.00679016113e-06
19 431 809 348679 5.96046447754e-06
19 433 619 268027 5.96046447754e-06
19 443 821 363703 5.96046447754e-06
19 443 941 416863 5.96046447754e-06
19 443 947 419521 5.96046447754e-06
19 449 733 329117 5.96046447754e-06
19 457 823 376111 5.96046447754e-06
19 461 661 304721 5.96046447754e-06
19 461 809 372949 5.96046447754e-06
19 461 1013 466993 5.96046447754e-06
19 463 1019 471797 5.96046447754e-06
19 467 761 355387 5.96046447754e-06
19 467 823 384341 5.96046447754e-06
19 467 907 423569 6.19888305664e-06
19 467 967 451589 5.96046447754e-06
19 479 673 322367 6.19888305664e-06
19 479 857 410503 5.96046447754e-06
19 479 883 422957 5.96046447754e-06
19 487 641 312167 5.96046447754e-06
19 487 863 420281 7.15255737305e-06
19 491 601 295091 5.96046447754e-06
19 491 733 359903 5.96046447754e-06
19 499 613 305887 5.96046447754e-06
19 499 619 308881 6.19888305664e-06
19 499 751 374749 5.96046447754e-06
19 499 881 439619 6.19888305664e-06
19 499 929 463571 5.96046447754e-06
19 503 601 302303 7.15255737305e-06
19 503 887 446161 6.91413879395e-06
19 509 523 266207 5.96046447754e-06
19 509 563 286567 5.96046447754e-06
19 509 863 439267 5.96046447754e-06
19 509 877 446393 6.19888305664e-06
19 521 659 343339 5.96046447754e-06
19 521 761 396481 5.96046447754e-06
19 521 797 415237 7.15255737305e-06
19 521 863 449623 5.96046447754e-06
19 521 947 493387 6.91413879395e-06
19 523 691 361393 5.96046447754e-06
19 523 811 424153 6.19888305664e-06
19 523 839 438797 6.91413879395e-06
19 541 751 406291 6.91413879395e-06
19 547 787 430489 6.19888305664e-06
19 557 659 367063 5.96046447754e-06
19 557 733 408281 7.15255737305e-06
19 571 757 432247 5.96046447754e-06
19 577 641 369857 6.91413879395e-06
19 577 853 492181 7.15255737305e-06
19 587 757 444359 5.96046447754e-06
