#bitsize(pq) p q pq mean
11 29 53 1537 0.0014686699956655501
11 29 59 1711 0.002164506202097982
11 29 61 1769 0.0016487941844388842
11 31 37 1147 0.0016430656076408922
11 31 41 1271 0.0015913705923594535
11 31 43 1333 0.001598690391983837
11 31 47 1457 0.0015659274067729712
11 31 53 1643 0.002074900409206748
11 31 59 1829 0.0017045743763446808
11 31 61 1891 0.0016927873832173646
11 37 37 1369 0.0015977342030964793
11 37 41 1517 0.0024790393770672383
11 37 43 1591 0.002358587202616036
11 37 47 1739 0.0016155190067365765
11 37 53 1961 0.0016636175918392838
11 41 41 1681 0.0026730007957667112
11 41 43 1763 0.0015932230046018959
11 41 47 1927 0.0016563556040637196
11 43 43 1849 0.0016451635980047285
11 43 47 2021 0.001627656607888639
12 37 59 2183 0.0021018269821070136
12 37 61 2257 0.0020098276203498245
12 37 67 2479 0.011301493807695805
12 37 71 2627 0.009859009797219187
12 37 73 2701 0.008106124598998576
12 37 79 2923 0.006262311805039644
12 37 83 3071 0.009718818787951023
12 37 89 3293 0.010489985800813884
12 37 97 3589 0.00702046740334481
12 37 101 3737 0.011906526994425803
12 37 103 3811 0.00976828277343884
12 37 107 3959 0.012959733791649341
12 37 109 4033 0.011908918002154678
12 41 53 2173 0.0016148190130479633
12 41 59 2419 0.001556043396703899
12 41 61 2501 0.0015664116013795137
12 41 67 2747 0.0086527781910263
12 41 71 2911 0.00793400319525972
12 41 73 2993 0.007856911199633032
12 41 79 3239 0.008700009400490672
12 41 83 3403 0.0062485328176990155
12 41 89 3649 0.013339969411026687
12 41 97 3977 0.00535433019977063
12 43 53 2279 0.0016661867848597467
12 43 59 2537 0.0017050791997462512
12 43 61 2623 0.0018754021963104605
12 43 67 2881 0.00976016161730513
12 43 71 3053 0.006194803793914616
12 43 73 3139 0.009806574403773994
12 43 79 3397 0.013039317005313933
12 43 83 3569 0.00789848220301792
12 43 89 3827 0.007860119012184441
12 47 47 2209 0.002100364200305194
12 47 53 2491 0.002142212609760463
12 47 59 2773 0.0016390700009651482
12 47 61 2867 0.0017725870013237
12 47 67 3149 0.018220715608913453
12 47 71 3337 0.013116195192560553
12 47 73 3431 0.010412952001206576
12 47 79 3713 0.009701042005326599
12 47 83 3901 0.007901208812836558
12 53 53 2809 0.001990592014044523
12 53 59 3127 0.0020705915987491606
12 53 61 3233 0.0015924004022963346
12 53 67 3551 0.010646103008184582
12 53 71 3763 0.007918914989568293
12 53 73 3869 0.007073565199971199
12 59 59 3481 0.0016575400135479868
12 59 61 3599 0.0017104858066886663
12 59 67 3953 0.011223138205241411
12 61 61 3721 0.0017085027880966662
12 61 67 4087 0.006173708394635468
13 37 113 4181 0.009701050398871303
13 37 127 4699 0.008652210794389248
13 41 101 4141 0.007821783993858845
13 41 103 4223 0.013183321803808212
13 41 107 4387 0.009631404792889953
13 41 109 4469 0.013068675610702485
13 41 113 4633 0.016927356424275786
13 41 127 5207 0.010977209394332022
13 43 97 4171 0.011186061613261699
13 43 101 4343 0.01481874119490385
13 43 103 4429 0.00807316378923133
13 43 107 4601 0.008123177010565997
13 43 109 4687 0.009600618202239276
13 43 113 4859 0.013113015808630734
13 43 127 5461 0.011514199187513442
13 47 89 4183 0.011272853799164295
13 47 97 4559 0.009676680818665772
13 47 101 4747 0.011355265195015818
13 47 103 4841 0.011745312204584479
13 47 107 5029 0.008785145997535437
13 47 109 5123 0.0130871354136616
13 47 113 5311 0.006171121599618345
13 47 127 5969 0.008008874382358044
13 53 79 4187 0.007072333805263042
13 53 83 4399 0.008127360395155847
13 53 89 4717 0.008050351799465717
13 53 97 5141 0.00967665818752721
13 53 101 5353 0.009773442812729627
13 53 103 5459 0.013165783195290715
13 53 107 5671 0.007249176409095526
13 53 109 5777 0.008738503814674914
13 53 113 5989 0.008046025200746954
13 53 127 6731 0.005356486211530865
13 59 71 4189 0.007876386190764606
13 59 73 4307 0.009566208405885845
13 59 79 4661 0.018632573587819935
13 59 83 4897 0.059322516794782135
13 59 89 5251 0.012898419017437846
13 59 97 5723 0.01835095901042223
13 59 101 5959 0.011067437997553498
13 59 103 6077 0.01830022062640637
13 59 107 6313 0.007786787999793887
13 59 109 6431 0.006146476184949279
13 59 113 6667 0.007030193798709661
13 59 127 7493 0.00788598059443757
13 61 71 4331 0.01274955339031294
13 61 73 4453 0.011533337412402034
13 61 79 4819 0.008048408594913781
13 61 83 5063 0.008033323183190078
13 61 89 5429 0.013236157409846783
13 61 97 5917 0.0079571204027161
13 61 101 6161 0.012707967997994275
13 61 103 6283 0.006183346780017018
13 61 107 6527 0.0070005216170102354
13 61 109 6649 0.013257506606169044
13 61 113 6893 0.01305136140435934
13 61 127 7747 0.011714588990435005
13 67 67 4489 0.015017787623219193
13 67 71 4757 0.00882240179926157
13 67 73 4891 0.008019319805316626
13 67 79 5293 0.011291315604466945
13 67 83 5561 0.01006224718876183
13 67 89 5963 0.011362286400981247
13 67 97 6499 0.007989498390816151
13 67 101 6767 0.007961550413165241
13 67 103 6901 0.007841237587854266
13 67 107 7169 0.009560789808165281
13 67 109 7303 0.013051726203411818
13 67 113 7571 0.011392337584402413
13 71 71 5041 0.016429655987303705
13 71 73 5183 0.008719647594261914
13 71 79 5609 0.013173629413358867
13 71 83 5893 0.007882074604276567
13 71 89 6319 0.012075431982520968
13 71 97 6887 0.007830267795361579
13 71 101 7171 0.009507510613184422
13 71 103 7313 0.011455562396440655
13 71 107 7597 0.007020806591026485
13 71 109 7739 0.008000562596134842
13 71 113 8023 0.007839687180239707
13 73 73 5329 0.007817006413824856
13 73 79 5767 0.008691798010841013
13 73 83 6059 0.008029908197931946
13 73 89 6497 0.011247897613793611
13 73 97 7081 0.013126877206377684
13 73 101 7373 0.010337874386459589
13 73 103 7519 0.011524772190023213
13 73 107 7811 0.011240064399316907
13 73 109 7957 0.013148036983329803
13 79 79 6241 0.00788555338513106
13 79 83 6557 0.009807411197107286
13 79 89 7031 0.01444214121438563
13 79 97 7663 0.007041758205741644
13 79 101 7979 0.011357901792507619
13 79 103 8137 0.011455763794947416
13 83 83 6889 0.00805049518821761
13 83 89 7387 0.007977726007811724
13 83 97 8051 0.007987935212440789
13 89 89 7921 0.007047468994278461
14 67 127 8509 0.0133788613951765
14 67 131 8777 0.012977096810936927
14 67 137 9179 0.007864491606596857
14 67 139 9313 0.007996715779881924
14 67 151 10117 0.011289300385396928
14 67 157 10519 0.009504829801153391
14 67 181 12127 0.009604005620349198
14 67 191 12797 0.014864062191918492
14 67 193 12931 0.013111590198241175
14 67 197 13199 0.007838039402849972
14 67 223 14941 0.010061642387881875
14 67 227 15209 0.014689012593589724
14 67 229 15343 0.007939911412540824
14 67 233 15611 0.007846169394906611
14 67 239 16013 0.008053718798328191
14 67 241 16147 0.006178026203997433
14 71 131 9301 0.00784260880900547
14 71 137 9727 0.00783142539439723
14 71 149 10579 0.00783573860535398
14 71 151 10721 0.011564482795074582
14 71 157 11147 0.007984057790599764
14 71 167 11857 0.009650945209432393
14 71 179 12709 0.013150464615318925
14 71 181 12851 0.01231863119173795
14 71 199 14129 0.012978349591139703
14 71 227 16117 0.00967412079917267
14 73 113 8249 0.01050105078611523
14 73 127 9271 0.01275787161430344
14 73 131 9563 0.009485664183739573
14 73 139 10147 0.01148036919767037
14 73 151 11023 0.009724689612630755
14 73 157 11461 0.009772364993114024
14 73 163 11899 0.009487621823791415
14 73 167 12191 0.014698752795811742
14 73 181 13213 0.013116170978173613
14 73 191 13943 0.00975740160793066
14 73 193 14089 0.007897681591566652
14 73 197 14381 0.011342040810268373
14 73 199 14527 0.007007890183012932
14 73 211 15403 0.011648456577677279
14 73 223 16279 0.006155762390699237
14 79 107 8453 0.01621831658994779
14 79 109 8611 0.009490334813017398
14 79 113 8927 0.007866782997734845
14 79 127 10033 0.00814765359973535
14 79 137 10823 0.009642208414152264
14 79 139 10981 0.011444255791138858
14 79 149 11771 0.009694343584123999
14 79 157 12403 0.009742063784506172
14 79 163 12877 0.009473589400295168
14 79 167 13193 0.007815649814438075
14 79 191 15089 0.012929576192982494
14 79 197 15563 0.013560629996936769
14 79 199 15721 0.009818102000281215
14 83 103 8549 0.009759070188738405
14 83 107 8881 0.013196743989828974
14 83 109 9047 0.014643181406427175
14 83 113 9379 0.014923336822539568
14 83 127 10541 0.008039677201304584
14 83 149 12367 0.008746321592479945
14 83 157 13031 0.00844126942101866
14 83 173 14359 0.007960040413308889
14 83 179 14857 0.00957426701206714
14 83 181 15023 0.006209397001657635
14 83 193 16019 0.007871419214643538
14 89 101 8989 0.009635686199180782
14 89 103 9167 0.009789805603213608
14 89 107 9523 0.01448441679822281
14 89 131 11659 0.009536030190065502
14 89 149 13261 0.0200612521963194
14 89 151 13439 0.018203044193796813
14 89 157 13973 0.009787488204892725
14 89 163 14507 0.011396981216967106
14 97 97 9409 0.013252829993143677
14 97 103 9991 0.014754291984718292
14 97 107 10379 0.006226301402784884
14 97 127 12319 0.0070407142164185645
14 97 137 13289 0.011232794402167201
14 97 139 13483 0.007022776384837925
14 97 149 14453 0.009555022185668349
14 97 151 14647 0.01135094800265506
14 97 157 15229 0.01123013038886711
14 97 163 15811 0.007846784975845367
14 101 107 10807 0.012848607590422034
14 101 127 12827 0.010656572203151882
14 101 137 13837 0.008747858379501849
14 101 139 14039 0.02753633538959548
14 101 149 15049 0.007907144189812244
14 103 107 11021 0.009746509010437877
14 103 113 11639 0.009695178596302867
14 103 151 15553 0.007019635802134871
14 103 157 16171 0.012836738384794443
14 107 107 11449 0.008104051207192242
14 107 127 13589 0.011940692795906215
14 107 137 14659 0.012910830392502248
14 109 109 11881 0.009541863214690239
14 109 113 12317 0.00890792579157278
14 109 149 16241 0.009807605587411672
14 113 127 14351 0.0062184131937101485
14 113 139 15707 0.007000850804615766
15 67 251 16817 0.010285510390531272
15 73 229 16717 0.00950893322005868
15 79 227 17933 0.01996509259333834
15 79 229 18091 0.014988619007635862
15 79 239 18881 0.012921144196297973
15 79 241 19039 0.013145721389446408
15 83 199 16517 0.012941980396863072
15 83 211 17513 0.009484770998824388
15 83 233 19339 0.011889508587773889
15 89 191 16999 0.005377989984117449
15 89 193 17177 0.014616607793141157
15 89 211 18779 0.014975865196902305
15 89 233 20737 0.011434143397491426
15 97 179 17363 0.014739834796637296
