#bitsize(pq) p q pq median
12 37 67 2479 0.007779296021908522
12 37 71 2627 0.008364975976292044
12 37 73 2701 0.00809491501422599
12 37 79 2923 0.007760856009554118
12 37 83 3071 0.008126756991259754
12 37 89 3293 0.00851809000596404
12 37 97 3589 0.007826887012924999
12 37 101 3737 0.010118796024471521
12 37 103 3811 0.008037097984924912
12 37 107 3959 0.00796548102516681
12 37 109 4033 0.007769448042381555
12 41 53 2173 0.0016100070206448436
12 41 59 2419 0.0015501910238526762
12 41 61 2501 0.0016406649956479669
12 41 67 2747 0.007868390006478876
12 41 71 2911 0.007835077005438507
12 41 73 2993 0.007855351956095546
12 41 79 3239 0.007859701989218593
12 41 83 3403 0.00784110400127247
12 41 89 3649 0.016521212994121015
12 41 97 3977 0.0037793329684063792
12 43 53 2279 0.001629345992114395
12 43 59 2537 0.0016950390418060124
12 43 61 2623 0.0017048960435204208
12 43 67 2881 0.008219470037147403
12 43 71 3053 0.007729974982794374
12 43 73 3139 0.008057790983002633
12 43 79 3397 0.01612495502922684
12 43 83 3569 0.007777668011840433
12 43 89 3827 0.007858338009100407
12 47 47 2209 0.002111486974172294
12 47 53 2491 0.002137029019650072
12 47 59 2773 0.0016301919822581112
12 47 61 2867 0.00169608200667426
12 47 67 3149 0.01691330102039501
12 47 71 3337 0.016106755007058382
12 47 73 3431 0.00780443602707237
12 47 79 3713 0.007846926047932357
12 47 83 3901 0.007805243018083274
12 53 53 2809 0.0018298070062883198
12 53 59 3127 0.0019525369862094522
12 53 61 3233 0.0015846510068513453
12 53 67 3551 0.008565257012378424
12 53 71 3763 0.007922066957689822
12 53 73 3869 0.007871908019296825
12 59 59 3481 0.001650029036682099
12 59 61 3599 0.0017081270343624055
12 59 67 3953 0.00783317897003144
12 61 61 3721 0.0016652459744364023
12 61 67 4087 0.007778542989399284
13 37 113 4181 0.007896908966358751
13 37 127 4699 0.007841461978387088
13 41 101 4141 0.007835165015421808
13 41 103 4223 0.01635972602525726
13 41 107 4387 0.007992892002221197
13 41 109 4469 0.01628927100682631
13 41 113 4633 0.01697577501181513
13 41 127 5207 0.008784484991338104
13 43 97 4171 0.007881296041887254
13 43 101 4343 0.016442535968963057
13 43 103 4429 0.008050065953284502
13 43 107 4601 0.007913072011433542
13 43 109 4687 0.007980204012710601
13 43 113 4859 0.016016307985410094
13 43 127 5461 0.008059954969212413
13 47 89 4183 0.007914963993243873
13 47 97 4559 0.0079917490365915
13 47 101 4747 0.008051294018514454
13 47 103 4841 0.008232560998294502
13 47 107 5029 0.007882161997258663
13 47 109 5123 0.016058443987276405
13 47 113 5311 0.007723184011410922
13 47 127 5969 0.007947837992105633
13 53 79 4187 0.003739328996744007
13 53 83 4399 0.008155616000294685
13 53 89 4717 0.007980203023180366
13 53 97 5141 0.008097463985905051
13 53 101 5353 0.00818041799357161
13 53 103 5459 0.01633853802923113
13 53 107 5671 0.003820478974375874
13 53 109 5777 0.007965811993926764
13 53 113 5989 0.007947441015858203
13 53 127 6731 0.003804837993811816
13 59 71 4189 0.00785181496758014
13 59 73 4307 0.007857322983909398
13 59 79 4661 0.007784033950883895
13 59 83 4897 0.00786854699254036
13 59 89 5251 0.008168795029632747
13 59 97 5723 0.007809219998307526
13 59 101 5959 0.007794615987222642
13 59 103 6077 0.007802173960953951
13 59 107 6313 0.007720916997641325
13 59 109 6431 0.007696171989664435
13 59 113 6667 0.0037966539966873825
13 59 127 7493 0.007932487002108246
13 61 71 4331 0.00794154597679153
13 61 73 4453 0.008456717012450099
13 61 79 4819 0.008043358975555748
13 61 83 5063 0.008046049973927438
13 61 89 5429 0.016378569998778403
13 61 97 5917 0.007963508018292487
13 61 101 6161 0.007847264991141856
13 61 103 6283 0.007744728995021433
13 61 107 6527 0.007775827019941062
13 61 109 6649 0.016681980981957167
13 61 113 6893 0.01605583500349894
13 61 127 7747 0.008912110002711415
13 67 67 4489 0.016653678030706942
13 67 71 4757 0.007875749026425183
13 67 73 4891 0.008038610045332462
13 67 79 5293 0.00780924002174288
13 67 83 5561 0.008165480976458639
13 67 89 5963 0.008082735992502421
13 67 97 6499 0.00801551598124206
13 67 101 6767 0.007946132973302156
13 67 103 6901 0.007794559001922607
13 67 107 7169 0.00788748700870201
13 67 109 7303 0.01617368101142347
13 67 113 7571 0.016290277999360114
13 71 71 5041 0.016938294982537627
13 71 73 5183 0.007884503982495517
13 71 79 5609 0.016412735974881798
13 71 83 5893 0.007897388015408069
13 71 89 6319 0.016116141981910914
13 71 97 6887 0.0078049530275166035
13 71 101 7171 0.007860319048631936
13 71 103 7313 0.008290829020552337
13 71 107 7597 0.00783261499600485
13 71 109 7739 0.008048049989156425
13 71 113 8023 0.007853782968595624
13 73 73 5329 0.007808486989233643
13 73 79 5767 0.00783643004251644
13 73 83 6059 0.008170901041012257
13 73 89 6497 0.008057519036810845
13 73 97 7081 0.016013846965506673
13 73 101 7373 0.008004475967027247
13 73 103 7519 0.008580558001995087
13 73 107 7811 0.007980089983902872
13 73 109 7957 0.016277924994938076
13 79 79 6241 0.007846347987651825
13 79 83 6557 0.008018150983843952
13 79 89 7031 0.007828541041817516
13 79 97 7663 0.007834545976947993
13 79 101 7979 0.007978096953593194
13 79 103 8137 0.007947711972519755
13 83 83 6889 0.00797493796562776
13 83 89 7387 0.007979237008839846
13 83 97 8051 0.007959629001561552
13 89 89 7921 0.007845954969525337
14 67 127 8509 0.01689369499217719
14 67 131 8777 0.01604526804294437
14 67 137 9179 0.00784197699977085
14 67 139 9313 0.007980627997312695
14 67 151 10117 0.008245848992373794
14 67 157 10519 0.007841798011213541
14 67 181 12127 0.007979838992469013
14 67 191 12797 0.016376074985601008
14 67 193 12931 0.016040289017837495
14 67 197 13199 0.007841714017558843
14 67 223 14941 0.008372893964406103
14 67 227 15209 0.016397003026213497
14 67 229 15343 0.007893958012573421
14 67 233 15611 0.007850089983548969
14 67 239 16013 0.007891377958003432
14 67 241 16147 0.007775163976475596
14 71 131 9301 0.007821078004781157
14 71 137 9727 0.007834343006834388
14 71 149 10579 0.00783322105417028
14 71 151 10721 0.008139824960380793
14 71 157 11147 0.007871443987824023
14 71 167 11857 0.007916123024187982
14 71 179 12709 0.016261265031062067
14 71 181 12851 0.0163962310180068
14 71 199 14129 0.008022732974495739
14 71 227 16117 0.007867636973969638
14 73 113 8249 0.007974656007718295
14 73 127 9271 0.007855547999497503
14 73 131 9563 0.007851557980757207
14 73 139 10147 0.007928209961391985
14 73 151 11023 0.00784654903691262
14 73 157 11461 0.007959951995871961
14 73 163 11899 0.007857930031605065
14 73 167 12191 0.01646667398745194
14 73 181 13213 0.016528796986676753
14 73 191 13943 0.00830005097668618
14 73 193 14089 0.007912900997325778
14 73 197 14381 0.008075108984485269
14 73 199 14527 0.007849675952456892
14 73 211 15403 0.008961975981947035
14 73 223 16279 0.007671276980545372
14 79 107 8453 0.016127287002746016
14 79 109 8611 0.007832676987163723
14 79 113 8927 0.0077961699571460485
14 79 127 10033 0.00813824700890109
14 79 137 10823 0.008063074026722461
14 79 139 10981 0.007973233005031943
14 79 149 11771 0.007959518989082426
14 79 157 12403 0.00797475897707045
14 79 163 12877 0.0077941130148246884
14 79 167 13193 0.007764511043205857
14 79 191 15089 0.01595691795228049
14 79 197 15563 0.016766084998380393
14 79 199 15721 0.008001257956493646
14 83 103 8549 0.007948104990646243
14 83 107 8881 0.015939788951072842
14 83 109 9047 0.016132796998135746
14 83 113 9379 0.016719010018277913
14 83 127 10541 0.008035661012399942
14 83 149 12367 0.007854486000724137
14 83 157 13031 0.008060656022280455
14 83 173 14359 0.008001030015293509
14 83 179 14857 0.007939318020362407
14 83 181 15023 0.0077286859741434455
14 83 193 16019 0.00785754102980718
14 89 101 8989 0.007957020949106663
14 89 103 9167 0.007901239034254104
14 89 107 9523 0.00798928999574855
14 89 131 11659 0.00786131399217993
14 89 149 13261 0.017002506996504962
14 89 151 13439 0.01666924200253561
14 89 157 13973 0.008192055975086987
14 89 163 14507 0.008041087014134973
14 97 97 9409 0.016499322024174035
14 97 103 9991 0.016208701010327786
14 97 107 10379 0.007805129047483206
14 97 127 12319 0.007873027003370225
14 97 137 13289 0.007837101991754025
14 97 139 13483 0.007810396957211196
14 97 149 14453 0.007870289962738752
14 97 151 14647 0.007891034008935094
14 97 157 15229 0.0078511229949072
14 97 163 15811 0.007842793012969196
14 101 107 10807 0.007922044955193996
14 101 127 12827 0.008259312016889453
14 101 137 13837 0.007824276981409639
14 101 139 14039 0.0165236959583126
14 101 149 15049 0.007903213030658662
14 103 107 11021 0.00810230104252696
14 103 113 11639 0.008136087970342487
14 103 151 15553 0.007835784985218197
14 103 157 16171 0.01600575295742601
14 107 107 11449 0.008091245021205395
14 107 127 13589 0.007907936989795417
14 107 137 14659 0.016070290002971888
14 109 109 11881 0.007874406001064926
14 109 113 12317 0.003775877004954964
14 109 149 16241 0.007952805957756937
14 113 127 14351 0.0078050660085864365
14 113 139 15707 0.00782627600710839
15 67 251 16817 0.007889751985203475
15 73 229 16717 0.007839897996746004
15 79 227 17933 0.01704318297561258
15 79 229 18091 0.01695161801762879
15 79 239 18881 0.007853362010791898
15 79 241 19039 0.01612040097825229
15 83 199 16517 0.015975573973264545
15 83 211 17513 0.007833238982129842
15 83 233 19339 0.00783969199983403
15 89 191 16999 0.0037925769574940205
15 89 193 17177 0.008081022999249399
15 89 211 18779 0.016749127011280507
15 89 233 20737 0.00790235900785774
15 97 179 17363 0.016333086998201907
15 97 181 17557 0.01619681902229786
15 97 191 18527 0.007981378003023565
15 97 197 19109 0.007924289966467768
15 97 251 24347 0.008183049038052559
15 101 173 17473 0.008526791003532708
15 101 191 19291 0.007830496004316956
15 101 193 19493 0.016115538019221276
15 101 199 20099 0.016151455987710506
15 101 233 23533 0.016201676975470036
15 101 239 24139 0.007994321000296623
15 103 167 17201 0.007846343971323222
15 103 181 18643 0.007862858998123556
15 103 197 20291 0.008002738992217928
15 103 239 24617 0.016028509009629488
15 107 223 23861 0.007748810981865972
15 107 227 24289 0.008101987012196332
15 107 239 25573 0.007801264000590891
15 109 179 19511 0.007912142958957702
15 109 227 24743 0.008379829989280552
15 109 233 25397 0.007950416998937726
15 113 149 16837 0.016036584973335266
15 113 181 20453 0.007870047993492335
15 113 197 22261 0.007984564988873899
15 113 229 25877 0.007873872993513942
15 113 233 26329 0.008027780975680798
15 113 241 27233 0.007951890002004802
15 113 251 28363 0.007947996957227588
15 127 149 18923 0.00794871203834191
15 127 163 20701 0.008786207006778568
15 127 173 21971 0.007868649961892515
15 127 179 22733 0.007807222020346671
15 127 191 24257 0.00819555198540911
