#bitsize(pq) p q pq std
12 47 59 2773 5.006202045455792e-05
12 47 61 2867 0.00019003713561151832
12 47 67 3149 0.007882729591866738
12 47 71 3337 0.004303916707668385
12 47 73 3431 0.005118940353389582
12 47 79 3713 0.0032778064214322267
12 47 83 3901 0.004595473173168605
12 53 53 2809 0.0003296434667614207
12 53 59 3127 0.00021980771426690528
12 53 61 3233 6.810908732756149e-05
12 53 67 3551 0.005064849427511943
12 53 71 3763 7.193221299146479e-05
12 53 73 3869 0.0016839663073165273
12 59 59 3481 3.187536007077656e-05
12 59 61 3599 7.88207668796284e-06
12 59 67 3953 0.004194048974336569
12 61 61 3721 0.0001177992831608994
12 61 67 4087 0.0020098518756736386
13 37 113 4181 0.0035493136160055757
13 37 127 4699 0.0040266675733708
13 41 101 4141 0.00448162872865089
13 41 103 4223 0.004281066207511895
13 41 107 4387 0.0032980515935884156
13 41 109 4469 0.004139853223798903
13 41 113 4633 0.008794430345589275
13 41 127 5207 0.004900815402889134
13 43 97 4171 0.00410204139751357
13 43 101 4343 0.0034886533130135725
13 43 103 4429 0.00017319100582524936
13 43 107 4601 0.00030430618332126654
13 43 109 4687 0.0032628432510355384
13 43 113 4859 0.004144565708659511
13 43 127 5461 0.004391522468608459
13 47 89 4183 0.004156982313468742
13 47 97 4559 0.003224889753747248
13 47 101 4747 0.00421229537781631
13 47 103 4841 0.00442478460249266
13 47 107 5029 0.004159289578561122
13 47 109 5123 0.004095595432729316
13 47 113 5311 0.001954333934136868
13 47 127 5969 0.0001819931419888458
13 53 79 4187 0.004759281705953688
13 53 83 4399 0.00015371484968905582
13 53 89 4717 0.00024184512569024562
13 53 97 5141 0.0031801684415161484
13 53 101 5353 0.0031547017226261553
13 53 103 5459 0.004220114351235288
13 53 107 5671 0.00514241396388129
13 53 109 5777 0.004021700211232255
13 53 113 5989 0.0001668212968354514
13 53 127 6731 0.002025670632268889
13 59 71 4189 0.004552130573940158
13 59 73 4307 0.0034696828443262794
13 59 79 4661 0.023166496605069305
13 59 83 4897 0.10280502119767423
13 59 89 5251 0.009667300143733036
13 59 97 5723 0.023094029704492244
13 59 101 5959 0.01069876008022482
13 59 103 6077 0.023103471800979308
13 59 107 6313 0.004577437291242538
13 59 109 6431 0.0020308167765797852
13 59 113 6667 0.004840310928584375
13 59 127 7493 7.56366999526388e-05
13 61 71 4331 0.009638857066919443
13 61 73 4453 0.0040263615146473135
13 61 79 4819 2.9929686633398892e-05
13 61 83 5063 0.00011642466075877198
13 61 89 5429 0.004316668382141071
13 61 97 5917 0.004582616448880061
13 61 101 6161 0.009667621728011565
13 61 103 6283 0.0019863078947458855
13 61 107 6527 0.001620110978397737
13 61 109 6649 0.0044089761227333645
13 61 113 6893 0.004079681739066905
13 61 127 7747 0.004087845349154129
13 67 67 4489 0.0031740271895841304
13 67 71 4757 0.004268548649872695
13 67 73 4891 6.0646138551006404e-05
13 67 79 5293 0.01110976585145931
13 67 83 5561 0.003529271670842639
13 67 89 5963 0.004219654499573986
13 67 97 6499 5.015887799175386e-05
13 67 101 6767 6.946850033487945e-05
13 67 103 6901 6.47798779411233e-05
13 67 107 7169 0.0033829719301406744
13 67 109 7303 0.004165088291137933
13 67 113 7571 0.006290087022391521
13 71 71 5041 0.008929994092112857
13 71 73 5183 0.0040780637931792305
13 71 79 5609 0.004060171847335833
13 71 83 5893 8.288893494371515e-05
13 71 89 6319 0.005272050565342791
13 71 97 6887 7.127317098521284e-05
13 71 101 7171 0.0033297720429630072
13 71 103 7313 0.004234866507846973
13 71 107 7597 0.0016313195716462993
13 71 109 7739 9.230811399269129e-05
13 71 113 8023 3.974657039172941e-05
13 73 73 5329 3.110284298557659e-05
13 73 79 5767 0.00405850254061538
13 73 83 6059 0.0001764014966161131
13 73 89 6497 0.004042657313777972
13 73 97 7081 0.00404827406117953
13 73 101 7373 0.004919475253788114
13 73 103 7519 0.0041207842534007255
13 73 107 7811 0.0040500455551381815
13 73 109 7957 0.004133294970941818
13 79 79 6241 8.823365360254055e-05
13 79 83 6557 0.003628741569893375
13 79 89 7031 0.009651535256467137
13 79 97 7663 0.001636445534776843
13 79 101 7979 0.0042720009057221255
13 79 103 8137 0.004362843395525963
13 83 83 6889 0.0002118082937107502
13 83 89 7387 5.5561311801297745e-05
13 83 97 8051 0.00016681830643626628
13 89 89 7921 0.0016264071474778618
14 67 127 8509 0.004475254715765084
14 67 131 8777 0.00397025684673116
14 67 137 9179 3.143892049259706e-05
14 67 139 9313 5.754403127860585e-05
14 67 151 10117 0.0040874960333522285
14 67 157 10519 0.0033485563716231853
14 67 181 12127 0.0032491829358151374
14 67 191 12797 0.003351868971174078
14 67 193 12931 0.004307522136900981
14 67 197 13199 3.2525783594013736e-05
14 67 223 14941 0.0032956365970800735
14 67 227 15209 0.0034143292479147276
14 67 229 15343 0.0001113353373512381
14 67 233 15611 3.377250327182736e-05
14 67 239 16013 0.004849009894640784
14 67 241 16147 0.0020723331664390366
14 71 131 9301 7.278224959982846e-05
14 71 137 9727 3.7067812042942176e-05
14 71 149 10579 3.925859650232236e-05
14 71 151 10721 0.00425175917080755
14 71 157 11147 0.00017899518041583208
14 71 167 11857 0.003516030124924244
14 71 179 12709 0.004231615113303966
14 71 181 12851 0.0053930867184692225
14 71 199 14129 0.009571485333714252
14 71 227 16117 0.003648059712176844
14 73 113 8249 0.005087777108149822
14 73 127 9271 0.009736427322095979
14 73 131 9563 0.0032377817513878256
14 73 139 10147 0.004437417936837351
14 73 151 11023 0.0036618196758669533
14 73 157 11461 0.003612522129681296
14 73 163 11899 0.0032766795282216715
14 73 167 12191 0.0033734450674042338
14 73 181 13213 0.0041954738962853965
14 73 191 13943 0.003137730449662156
14 73 193 14089 5.748854635836242e-05
14 73 197 14381 0.004150355019804831
14 73 199 14527 0.0016561253380007897
14 73 211 15403 0.004086718766800825
14 73 223 16279 0.0020376315122382816
14 79 107 8453 0.008872399021365544
14 79 109 8611 0.003268713918378345
14 79 113 8927 0.004531367686885607
14 79 127 10033 0.00010845028476093728
14 79 137 10823 0.003245874437282097
14 79 139 10981 0.004402542765116954
14 79 149 11771 0.003584343313092741
14 79 157 12403 0.0035974993354336324
14 79 163 12877 0.0033600502265730215
14 79 167 13193 0.004503980244539714
14 79 191 15089 0.004125185126857656
14 79 197 15563 0.004542293378546793
14 79 199 15721 0.0036163380590938624
14 83 103 8549 0.003655600964094292
14 83 107 8881 0.004023003723272858
14 83 109 9047 0.0033139153704454557
14 83 113 9379 0.0034575180789123703
14 83 127 10541 6.661011212990644e-05
14 83 149 12367 0.0018203089743579546
14 83 157 13031 0.0007448601965179336
14 83 173 14359 0.00010103279392237265
14 83 179 14857 0.0032768092132772152
14 83 181 15023 0.002047721590176157
14 83 193 16019 5.2802880356390584e-05
14 89 101 8989 0.0032681179547450713
14 89 103 9167 0.0034494916661322195
14 89 107 9523 0.009480284229167713
14 89 131 11659 0.003294531331629358
14 89 149 13261 0.00613560004297464
14 89 151 13439 0.008050444593827265
14 89 157 13973 0.0033038130948852486
14 89 163 14507 0.0041911404868717915
14 97 97 9409 0.004208014257881852
14 97 103 9991 0.003446497984735953
14 97 107 10379 0.002089235431251531
14 97 127 12319 0.0016699084783473267
14 97 137 13289 0.0041684641732494055
14 97 139 13483 0.001608997740625449
14 97 149 14453 0.003366358087047976
14 97 151 14647 0.004273473726875823
14 97 157 15229 0.004154726855309143
14 97 163 15811 1.0708570180033711e-05
14 101 107 10807 0.009796255106870643
14 101 127 12827 0.005184288864050069
14 101 137 13837 0.004209775715953746
14 101 139 14039 0.020320493455342155
14 101 149 15049 5.562902174130609e-05
14 103 107 11021 0.0033581887225837695
14 103 113 11639 0.003188523815960181
14 103 151 15553 0.0016449185842021393
14 103 157 16171 0.004059441432051129
14 107 107 11449 0.00010115691617757893
14 107 127 13589 0.010268603793695149
14 107 137 14659 0.0041315014945847595
14 109 109 11881 0.0033232464824683888
14 109 113 12317 0.006326777567906707
14 109 149 16241 0.0035986911509629537
14 113 127 14351 0.002025838381626803
14 113 139 15707 0.0016606597092393793
15 67 251 16817 0.004891876688549706
15 73 229 16717 0.0033245663657489313
15 79 227 17933 0.006353312805736502
15 79 229 18091 0.0035814072875542556
