#bitsize(pq) p q pq min
12 37 103 3811 0.032853242999408394
12 37 107 3959 0.016041570052038878
12 37 109 4033 0.015996300033293664
12 41 53 2173 0.007865783991292119
12 41 59 2419 0.007882335979957134
12 41 61 2501 0.007750995049718767
12 41 67 2747 0.034412984969094396
12 41 71 2911 0.015978101000655442
12 41 73 2993 0.016008077014703304
12 41 79 3239 0.01598484901478514
12 41 83 3403 0.015961776953190565
12 41 89 3649 0.03245467902161181
12 41 97 3977 0.01596798695391044
12 43 53 2279 0.016045336960814893
12 43 59 2537 0.01745785999810323
12 43 61 2623 0.01694138703169301
12 43 67 2881 0.032246246992144734
12 43 71 3053 0.032036332006100565
12 43 73 3139 0.03230601496761665
12 43 79 3397 0.03326266899239272
12 43 83 3569 0.01609694998478517
12 43 89 3827 0.03391882497817278
12 47 47 2209 0.016413067001849413
12 47 53 2491 0.016336708038579673
12 47 59 2773 0.006384423992130905
12 47 61 2867 0.016722492990083992
12 47 67 3149 0.03212272102246061
12 47 71 3337 0.03257746301824227
12 47 73 3431 0.015994228015188128
12 47 79 3713 0.015943988983053714
12 47 83 3901 0.032474619045387954
12 53 53 2809 0.01673403399763629
12 53 59 3127 0.016465121996589005
12 53 61 3233 0.01596037799026817
12 53 67 3551 0.016332817962393165
12 53 71 3763 0.016122164961416274
12 53 73 3869 0.015943198988679796
12 59 59 3481 0.007896247028838843
12 59 61 3599 0.00790185498772189
12 59 67 3953 0.016189975023735315
12 61 61 3721 0.01639087201328948
12 61 67 4087 0.015941415971610695
13 37 113 4181 0.015984609024599195
13 37 127 4699 0.016383154958020896
13 41 101 4141 0.015963794954586774
13 41 103 4223 0.032201288966462016
13 41 107 4387 0.016101285989861935
13 41 109 4469 0.03233563603134826
13 41 113 4633 0.03229031397495419
13 41 127 5207 0.03204802400432527
13 43 97 4171 0.03246732003754005
13 43 101 4343 0.016651265032123774
13 43 103 4429 0.016087130003143102
13 43 107 4601 0.032132903987076133
13 43 109 4687 0.016969896969385445
13 43 113 4859 0.03296806098660454
13 43 127 5461 0.03280667297076434
13 47 89 4183 0.0325434030382894
13 47 97 4559 0.016139012994244695
13 47 101 4747 0.03283138998085633
13 47 103 4841 0.01629805500851944
