#bitsize(pq) p q pq std
13 71 113 8023 0.0
13 73 73 5329 0.0
13 73 79 5767 0.0
13 73 83 6059 0.0
13 73 89 6497 0.0
13 73 97 7081 0.0
13 73 101 7373 0.0
13 73 103 7519 0.0
13 73 107 7811 0.0
13 73 109 7957 0.0
13 79 79 6241 0.0
13 79 83 6557 0.0
13 79 89 7031 0.0
13 79 97 7663 0.0
13 79 101 7979 0.0
13 79 103 8137 0.0
13 83 83 6889 0.0
13 83 89 7387 0.0
13 83 97 8051 0.0
13 89 89 7921 0.0
14 67 127 8509 0.0
14 67 131 8777 0.0
14 67 137 9179 0.0
14 67 139 9313 0.0
14 67 151 10117 0.0
14 67 157 10519 0.0
14 67 181 12127 0.0
14 67 191 12797 0.0
14 67 193 12931 0.0
14 67 197 13199 0.0
14 67 223 14941 0.0
14 67 227 15209 0.0
14 67 229 15343 0.0
14 67 233 15611 0.0
14 67 239 16013 0.0
14 67 241 16147 0.0
14 71 131 9301 0.0
14 71 137 9727 0.0
14 71 149 10579 0.0
14 71 151 10721 0.0
14 71 157 11147 0.0
14 71 167 11857 0.0
14 71 179 12709 0.0
14 71 181 12851 0.0
14 71 199 14129 0.0
14 71 227 16117 0.0
14 73 113 8249 0.0
14 73 127 9271 0.0
14 73 131 9563 0.0
14 73 139 10147 0.0
14 73 151 11023 0.0
14 73 157 11461 0.0
14 73 163 11899 0.0
14 73 167 12191 0.0
14 73 181 13213 0.0
14 73 191 13943 0.0
14 73 193 14089 0.0
14 73 197 14381 0.0
14 73 199 14527 0.0
14 73 211 15403 0.0
14 73 223 16279 0.0
14 79 107 8453 0.0
14 79 109 8611 0.0
14 79 113 8927 0.0
14 79 127 10033 0.0
14 79 137 10823 0.0
14 79 139 10981 0.0
14 79 149 11771 0.0
14 79 157 12403 0.0
14 79 163 12877 0.0
14 79 167 13193 0.0
14 79 191 15089 0.0
14 79 197 15563 0.0
14 79 199 15721 0.0
14 83 103 8549 0.0
14 83 107 8881 0.0
14 83 109 9047 0.0
14 83 113 9379 0.0
14 83 127 10541 0.0
14 83 149 12367 0.0
14 83 157 13031 0.0
14 83 173 14359 0.0
14 83 179 14857 0.0
14 83 181 15023 0.0
14 83 193 16019 0.0
14 89 101 8989 0.0
14 89 103 9167 0.0
14 89 107 9523 0.0
14 89 131 11659 0.0
14 89 149 13261 0.0
14 89 151 13439 0.0
14 89 157 13973 0.0
14 89 163 14507 0.0
14 97 97 9409 0.0
14 97 103 9991 0.0
14 97 107 10379 0.0
14 97 127 12319 0.0
14 97 137 13289 0.0
14 97 139 13483 0.0
14 97 149 14453 0.0
14 97 151 14647 0.0
14 97 157 15229 0.0
14 97 163 15811 0.0
14 101 107 10807 0.0
14 101 127 12827 0.0
14 101 137 13837 0.0
14 101 139 14039 0.0
14 101 149 15049 0.0
14 103 107 11021 0.0
14 103 113 11639 0.0
14 103 151 15553 0.0
14 103 157 16171 0.0
14 107 107 11449 0.0
14 107 127 13589 0.0
14 107 137 14659 0.0
14 109 109 11881 0.0
14 109 113 12317 0.0
14 109 149 16241 0.0
14 113 127 14351 0.0
14 113 139 15707 0.0
15 67 251 16817 0.0
15 73 229 16717 0.0
15 79 227 17933 0.0
15 79 229 18091 0.0
15 79 239 18881 0.0
15 79 241 19039 0.0
15 83 199 16517 0.0
15 83 211 17513 0.0
15 83 233 19339 0.0
15 89 191 16999 0.0
15 89 193 17177 0.0
15 89 211 18779 0.0
15 89 233 20737 0.0
15 97 179 17363 0.0
15 97 181 17557 0.0
15 97 191 18527 0.0
15 97 197 19109 0.0
15 97 251 24347 0.0
15 101 173 17473 0.0
15 101 191 19291 0.0
15 101 193 19493 0.0
15 101 199 20099 0.0
15 101 233 23533 0.0
15 101 239 24139 0.0
15 103 167 17201 0.0
15 103 181 18643 0.0
15 103 197 20291 0.0
15 103 239 24617 0.0
15 107 223 23861 0.0
15 107 227 24289 0.0
15 107 239 25573 0.0
15 109 179 19511 0.0
15 109 227 24743 0.0
15 109 233 25397 0.0
15 113 149 16837 0.0
15 113 181 20453 0.0
15 113 197 22261 0.0
15 113 229 25877 0.0
15 113 233 26329 0.0
15 113 241 27233 0.0
15 113 251 28363 0.0
15 127 149 18923 0.0
15 127 163 20701 0.0
15 127 173 21971 0.0
15 127 179 22733 0.0
15 127 191 24257 0.0
15 127 193 24511 0.0
15 127 211 26797 0.0
15 127 223 28321 0.0
15 127 233 29591 0.0
15 127 241 30607 0.0
15 131 149 19519 0.0
15 131 157 20567 0.0
15 131 173 22663 0.0
15 131 181 23711 0.0
15 131 191 25021 0.0
15 131 193 25283 0.0
15 131 197 25807 0.0
15 131 199 26069 0.0
15 131 211 27641 0.0
15 131 227 29737 0.0
15 137 139 19043 0.0
15 137 151 20687 0.0
15 137 157 21509 0.0
15 137 163 22331 0.0
15 137 229 31373 0.0
15 137 233 31921 0.0
15 139 139 19321 0.0
15 139 157 21823 0.0
15 139 163 22657 0.0
15 139 173 24047 0.0
15 139 179 24881 0.0
15 139 181 25159 0.0
15 139 199 27661 0.0
15 139 211 29329 0.0
15 139 227 31553 0.0
15 139 229 31831 0.0
15 139 233 32387 0.0
15 149 157 23393 0.0
15 149 163 24287 0.0
15 149 173 25777 0.0
15 149 179 26671 0.0
15 149 181 26969 0.0
15 149 197 29353 0.0
15 149 199 29651 0.0
15 149 211 31439 0.0
15 151 179 27029 0.0
15 151 181 27331 0.0
15 151 211 31861 0.0
15 157 163 25591 0.0
15 157 179 28103 0.0
15 157 181 28417 0.0
15 157 191 29987 0.0
15 157 197 30929 0.0
15 157 199 31243 0.0
15 163 179 29177 0.0
15 163 197 32111 0.0
15 163 199 32437 0.0
15 167 173 28891 0.0
15 167 181 30227 0.0
16 131 251 32881 0.0
16 131 257 33667 0.0
16 131 263 34453 0.0
16 131 269 35239 0.0
16 131 311 40741 0.0
16 131 359 47029 0.0
16 131 373 48863 0.0
16 131 401 52531 0.0
16 131 419 54889 0.0
16 131 487 63797 0.0
16 137 271 37127 0.0
16 137 281 38497 0.0
16 137 293 40141 0.0
16 137 313 42881 0.0
16 137 331 45347 0.0
16 137 349 47813 0.0
16 137 373 51101 0.0
16 137 389 53293 0.0
16 137 431 59047 0.0
16 137 439 60143 0.0
16 139 241 33499 0.0
16 139 257 35723 0.0
16 139 263 36557 0.0
16 139 293 40727 0.0
16 139 317 44063 0.0
16 139 353 49067 0.0
16 139 359 49901 0.0
16 139 383 53237 0.0
16 149 241 35909 0.0
16 149 251 37399 0.0
16 149 257 38293 0.0
16 149 311 46339 0.0
16 149 349 52001 0.0
16 149 379 56471 0.0
16 149 389 57961 0.0
16 149 421 62729 0.0
16 149 439 65411 0.0
16 151 271 40921 0.0
16 151 283 42733 0.0
16 151 307 46357 0.0
16 151 313 47263 0.0
16 151 337 50887 0.0
16 151 347 52397 0.0
16 151 433 65383 0.0
16 157 251 39407 0.0
16 157 263 41291 0.0
16 157 277 43489 0.0
16 157 311 48827 0.0
16 157 347 54479 0.0
16 157 389 61073 0.0
16 167 199 33233 0.0
16 167 233 38911 0.0
16 167 239 39913 0.0
16 167 293 48931 0.0
16 167 307 51269 0.0
16 167 379 63293 0.0
16 179 193 34547 0.0
16 179 227 40633 0.0
16 179 229 40991 0.0
16 179 241 43139 0.0
16 179 349 62471 0.0
